City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Bonfim,BR,2020-11-27 03:58:41,3.08,-59.95,78.06,76,18,3.18
211,Andrews,US,2020-11-27 03:58:41,32.32,-102.55,48.2,34,1,4.7
212,San Clemente,US,2020-11-27 03:58:41,33.43,-117.61,63.0,15,0,3.0
213,Grand Gaube,MU,2020-11-27 03:58:41,-20.01,57.66,79.0,66,1,13.0
214,Teonthar,IN,2020-11-27 03:58:41,24.98,81.65,71.65,31,3,4.41
215,Musoma,TZ,2020-11-27 03:58:41,-1.5,33.8,68.0,94,20,7.34
216,Abong Mbang,CM,2020-11-27 03:58:42,3.98,13.18,66.15,77,87,1.92
217,Kitakata,JP,2020-11-27 03:58:42,37.65,139.87,52.0,70,75,5.82
218,Saint George,US,2020-11-27 03:58:42,37.1,-113.58,43.0,30,1,4.7
219,Hasaki,JP,2020-11-27 03:58:42,35.73,140.83,55.0,76,75,13.87
220,Chapais,CA,2020-11-27 03:58:42,49.78,-74.85,33.8,100,90,8.05
221,Rochester,US,2020-11-27 03:57:41,43.15,-77.62,50.0,87,90,12.75
222,Shahr-E Kord,IR,2020-11-27 03:58:42,32.33,50.86,41.0,80,40,6.93
223,Bethel,US,2020-11-27 03:58:43,41.37,-73.41,51.01,93,1,5.82
224,Warrnambool,AU,2020-11-27 03:56:56,-38.38,142.48,88.0,39,100,5.01
225,Kushima,JP,2020-11-27 03:58:43,31.46,131.23,69.8,46,20,4.7
226,Faya,SA,2020-11-27 03:58:43,18.39,42.45,55.4,93,20,2.64
227,Pemangkat,ID,2020-11-27 03:58:43,1.17,108.97,81.48,80,99,6.87
228,Luderitz,NA,2020-11-27 03:58:43,-26.65,15.16,57.2,82,0,18.34
229,Kiunga,PG,2020-11-27 03:58:43,-6.12,141.29,88.3,67,58,2.3
230,Karratha,AU,2020-11-27 03:55:59,-20.74,116.85,90.52,43,0,12.12
231,Vokhtoga,RU,2020-11-27 03:58:44,58.81,41.05,28.31,98,100,10.71
232,Banff,CA,2020-11-27 03:58:28,51.18,-115.57,39.2,50,100,12.75
233,Baykit,RU,2020-11-27 03:58:44,61.67,96.37,9.14,91,100,2.64
234,Montecristo,CO,2020-11-27 03:58:44,8.3,-74.47,75.02,92,100,1.59
235,Rudnyy,KZ,2020-11-27 03:58:44,52.96,63.12,15.8,92,90,2.24
236,San Jeronimo,PE,2020-11-27 03:58:44,-11.95,-75.28,53.08,65,98,3.02
237,Tromso,NO,2020-11-27 03:58:44,69.65,18.96,37.0,80,75,29.97
238,Bubaque,GW,2020-11-27 03:58:45,11.28,-15.83,82.58,52,19,8.08
239,Thunder Bay,CA,2020-11-27 03:58:45,48.4,-89.32,33.8,74,90,4.7
240,Esperance,AU,2020-11-27 03:58:45,-33.87,121.9,68.0,56,90,18.34
241,Los Llanos De Aridane,ES,2020-11-27 03:58:45,28.66,-17.92,60.8,63,0,6.93
242,Awjilah,LY,2020-11-27 03:58:45,29.11,21.29,50.43,82,0,1.86
243,Huari,PE,2020-11-27 03:58:45,-9.33,-77.23,41.31,84,100,1.66
244,Horta,PT,2020-11-27 03:58:45,38.53,-28.63,62.8,82,68,16.17
245,Waimana,NZ,2020-11-27 03:58:46,-38.15,177.08,77.0,52,17,8.01
246,Torbay,CA,2020-11-27 03:58:46,47.67,-52.73,37.99,93,90,3.31
247,Puerto El Triunfo,SV,2020-11-27 03:58:46,13.28,-88.55,78.8,94,75,3.36
248,Kaitangata,NZ,2020-11-27 03:58:46,-46.28,169.85,55.0,57,57,17.0
249,Carauari,BR,2020-11-27 03:58:42,-4.88,-66.9,73.87,97,99,1.25
250,Bulgan,MN,2020-11-27 03:58:46,48.81,103.53,12.13,90,1,2.17
251,Buala,SB,2020-11-27 03:58:46,-8.14,159.59,85.12,66,82,3.74
252,Katobu,ID,2020-11-27 03:58:46,-4.94,122.53,87.06,65,98,3.22
253,Lompoc,US,2020-11-27 03:56:05,34.64,-120.46,55.4,70,1,3.36
254,Jiwani,PK,2020-11-27 03:54:26,25.05,61.74,70.79,54,0,10.8
255,Pelym,RU,2020-11-27 03:58:47,61.01,62.0,13.66,95,100,5.06
256,Hay River,CA,2020-11-27 03:56:26,60.82,-115.8,21.2,85,75,12.75
