City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Fairbanks,64.84,-147.72,-4.0,83,40,2.95,scattered clouds
212,Saint-Philippe,-21.36,55.77,73.4,73,0,3.36,clear sky
213,Kanniyakumari,8.08,77.57,79.68,80,68,10.47,broken clouds
214,Upernavik,72.79,-56.15,0.48,71,100,6.08,overcast clouds
215,Dali,25.7,100.18,45.41,72,2,1.83,clear sky
216,Meulaboh,4.14,96.13,75.04,87,83,4.68,moderate rain
217,Livadiya,42.87,132.68,21.29,85,57,9.33,broken clouds
218,Palu,-0.89,119.87,75.9,76,100,2.46,overcast clouds
219,Cururupu,-1.83,-44.87,83.79,67,93,6.02,overcast clouds
220,Santa Vitoria Do Palmar,-33.52,-53.37,77.25,76,44,13.58,moderate rain
221,Olinda,-8.01,-34.86,78.8,65,40,11.41,scattered clouds
222,Pergamino,-33.89,-60.57,87.03,43,57,5.59,broken clouds
223,Hasaki,35.73,140.83,42.8,70,75,4.7,broken clouds
224,Agadez,19.75,10.25,74.28,21,0,9.57,clear sky
225,Aykhal,66.0,111.5,-0.4,91,0,2.24,clear sky
226,Poronaysk,49.22,143.12,16.18,89,3,8.41,clear sky
227,Esmeraldas,-19.76,-44.31,80.6,44,40,14.99,scattered clouds
228,Faanui,-16.48,-151.75,80.87,76,3,6.73,clear sky
229,Beloha,-25.17,45.05,71.67,90,37,11.3,scattered clouds
230,Storslett,69.77,21.02,38.75,75,100,8.77,overcast clouds
231,Leua,48.22,18.61,34.0,96,34,1.57,scattered clouds
232,Gayny,60.31,54.32,5.7,95,0,2.68,clear sky
233,Lacey,47.03,-122.82,48.0,87,90,1.57,overcast clouds
234,La Ligua,-32.45,-71.23,71.6,49,0,14.99,clear sky
235,Gamba,-2.65,10.0,76.42,85,100,3.24,overcast clouds
236,Katsuura,35.13,140.3,50.0,53,0,11.41,clear sky
237,Harper,4.38,-7.72,79.41,82,10,5.7,light rain
238,Warwick,41.7,-71.42,54.0,46,75,11.41,broken clouds
239,Shetpe,44.17,52.12,32.16,87,0,16.26,clear sky
240,Lagoa,39.05,-27.98,56.61,69,78,28.01,light rain
241,Sola,-13.88,167.55,79.43,85,72,17.29,moderate rain
242,Shimoda,34.67,138.95,54.93,59,99,5.37,overcast clouds
243,Dinard,48.63,-2.06,50.0,87,100,8.05,overcast clouds
244,Komsomolskiy,40.43,71.72,35.6,74,4,1.21,clear sky
245,Alta Floresta,-9.88,-56.09,91.4,49,20,5.82,shower rain
246,Quincy,42.25,-71.0,54.0,57,73,14.99,broken clouds
247,Acapulco,16.86,-99.89,86.0,70,75,8.05,broken clouds
248,Igarka,67.47,86.58,-1.91,92,100,10.18,overcast clouds
